product,category,priority_score,demand_score,fit_score,h2s_fit,competition_score,opportunity_score,score_explanation,action
Rad display weather / sun cover,rad_power_bikes,83.4,91.8,90.0,88.0,90.0,62.7,"Live Etsy Open API: 9 active listings for 'rad power screen cover' (page favorites sum 494; top: RAD Power Bike Screen Cover). OEM: No conservative title-token match in live accessories+spare-parts catalog. demand=min(100, 8*etsy+0.04*favs+15*oos)=91.8. H2S small snap parts (88).",CLOSEST
Rad Power display / phone mount,rad_power_bikes,69.8,63.4,83.0,80.0,60.0,60.1,"Live Etsy Open API: 6 active listings for 'ebike display mount 3d print' (page favorites sum 9; top: Kiox 300/500 Halterung – 3D-gedruckter Ahead Vorbau Mount – Bosch E‑Bi). OEM: Related OEM titles (1): GUB PRO-3 Phone Mount. OOS (any variant available=false): GUB PRO-3 Phone Mount. In-stock analogs: 0. demand=min(100, 8*etsy+0.04*favs+15*oos)=63.4. H2S medium mounts (80).",CLOSEST
Rad Power charging port dust cap,rad_power_bikes,61.1,26.4,100.0,93.0,50.0,53.1,"Live Etsy Open API: 3 active listings for 'ebike charge port cover' (page favorites sum 60; top: Black Replacement Charging Port Cap Cover for Haibike / Winora e-bikes). OEM: Related OEM titles (1): External Battery Charge Port Cover. OOS (any variant available=false): none. In-stock analogs: 1. demand=min(100, 8*etsy+0.04*favs+15*oos)=26.4. H2S small snap parts (93).",CLOSEST
Rad Power Bikes battery terminal / fuse cover,rad_power_bikes,56.6,16.6,100.0,88.0,40.0,52.6,"Live Etsy Open API: 2 active listings for 'rad power fuse cover' (page favorites sum 15; top: Rad Power Bike Battery Fuse Cover Replacements - Multi Packs - Compati). OEM: Related OEM titles (1): Battery Terminal Cover. OOS (any variant available=false): none. In-stock analogs: 1. demand=min(100, 8*etsy+0.04*favs+15*oos)=16.6. H2S small snap parts (88).",WATCH
Rad kickstand anti-rattle hook,rad_power_bikes,52.8,8.4,100.0,92.0,50.0,45.9,"Live Etsy Open API: 1 active listings for 'radwagon kickstand anti rattle' (page favorites sum 11; top: RadWagon 4 Kickstand Holder | StandKeeper for Rad Power Bikes | 3D Pri). OEM: Related OEM titles (2): Kickstand; RadRunner 3 Plus Center Kickstand. OOS (any variant available=false): none. In-stock analogs: 2. demand=min(100, 8*etsy+0.04*favs+15*oos)=8.4. H2S small snap parts (92).",WATCH
Rad Power cargo net hooks,rad_power_bikes,50.9,0.0,100.0,88.0,20.0,53.0,"Live Etsy Open API: 0 active listings for 'rad power cargo net hook' (page favorites sum 0; top: nan). OEM: Related OEM titles (1): Cargo Net. OOS (any variant available=false): none. In-stock analogs: 1. demand=min(100, 8*etsy+0.04*favs+15*oos)=0.0. H2S small snap parts (88).",WATCH
Rad rack pannier adapter,rad_power_bikes,42.7,0.0,78.0,76.0,20.0,47.5,"Live Etsy Open API: 0 active listings for 'radrunner pannier adapter' (page favorites sum 0; top: nan). OEM: Related OEM titles (1): Fremont Pannier Bag. OOS (any variant available=false): none. In-stock analogs: 1. demand=min(100, 8*etsy+0.04*favs+15*oos)=0.0. H2S medium mounts (76).",WATCH
RadWagon 4 caboose fishing rod holder,rad_power_bikes,41.9,0.0,80.0,78.0,40.0,41.0,"Live Etsy Open API: 0 active listings for 'radwagon 4 fishing rod holder' (page favorites sum 0; top: nan). OEM: Related OEM titles (2): RadWagon Caboose; RadRunner Caboose. OOS (any variant available=false): none. In-stock analogs: 2. demand=min(100, 8*etsy+0.04*favs+15*oos)=0.0. H2S medium mounts (78).",WATCH
RadRunner 3 / Max / Radster storage mount,rad_power_bikes,37.9,0.0,80.0,58.0,40.0,41.0,"Live Etsy Open API: 0 active listings for 'radrunner 3 console alternative' (page favorites sum 0; top: nan). OEM: Related OEM titles (2): RadRunner 3/RadRunner Max Console; RadRunner 2 Console. OOS (any variant available=false): none. In-stock analogs: 2. demand=min(100, 8*etsy+0.04*favs+15*oos)=0.0. H2S large storage (58).",WATCH
Rad Power kickstand foot / base widener,rad_power_bikes,30.8,0.0,50.0,62.0,40.0,33.5,"Live Etsy Open API: 0 active listings for 'rad power kickstand foot' (page favorites sum 0; top: nan). OEM: Related OEM titles (2): Kickstand; RadRunner 3 Plus Center Kickstand. OOS (any variant available=false): none. In-stock analogs: 2. demand=min(100, 8*etsy+0.04*favs+15*oos)=0.0. H2S load-bearing hybrid (62).",WATCH
