opportunity_id,ts,run_id,product_key,brand,pain,evidence_count,sources_json,confidence,suggested_next,alert_user,summary,lane,url,unmet_demand,competition_density,teardown_status,teardown_ref
opp-a7bf736b,2026-09-25T09:10:00-07:00,weekday-2026-09-25,SOMO-RAD-SUN-01,rad,visor/left UI pad,5,"[""youtube"", ""etsy"", ""rad_oem"", ""makerworld"", ""rad_yotpo""]",medium,KEEP_HUNTING,false,Soft hero SUN-01 KEEP_HUNTING. COMPLETE teardown carried. Live OEM still NO sun-cover/visor SKU. No new 2026 left-pad glare WTB in Yotpo today. Etsy display-cover count=8 → competition only.,mixed,https://www.youtube.com/watch?v=52RTeyz9FUI,100,0.4,COMPLETE,data/teardowns/2026-09-25.csv#opp-a7bf736b
opp-a9020bd9,2026-09-25T09:10:00-07:00,weekday-2026-09-25,rad_basket_divider_organizer,rad,small items slip out or fall through Rad basket,20,"[""rad_yotpo_reviews"", ""ebr"", ""amazon""]",medium,DESIGN,false,Basket organizer COMPLETE teardown this run. Non-owner WTB/DIY present → DESIGN eligible; CAD gated on owner tape/caliper measurements (list with Design Bot). Soft liners compete ($34.99–$65.25). Rigid Rad-exact modular bin + TPU feet is SoMo angle. (c) non-load.,demand,https://www.radpowerbikes.com/products/large-front-mounted-basket,60,0.51,COMPLETE,data/teardowns/2026-09-25.csv#opp-a9020bd9
opp-40996e5a,2026-09-25T09:10:00-07:00,weekday-2026-09-25,aventon_front_basket,aventon,front basket cargo,1,"[""facebook_aventon"", ""aventon_oem""]",low,WATCH,false,Aventon front basket WATCH — FB weekly 2026-09-21 carry only. Aventon products.json: no front basket SKU; Rear Rack Basket Abound $150.99 IN STOCK.,demand,https://www.facebook.com/groups/860508022428626,58,0.0,,
opp-5a782a21,2026-09-25T09:10:00-07:00,weekday-2026-09-25,rad_large_front_mounted_basket,rad,large front-mounted basket OOS,2,"[""rad_oem"", ""youtube"", ""facebook_rpboc""]",low,WATCH,false,"Large FMB still OOS ($119) but COMPLETE teardown → WATCH. (a)/(b) structural/load-path no-go; in-stock substitutes (Small FMB $89, Front Rack+Large Basket $178, Retrospec). Pursue (c) accessories as separate cards.",demand,https://www.radpowerbikes.com/products/large-front-mounted-basket,55,0.48,COMPLETE,data/teardowns/2026-09-25.csv#opp-5a782a21
opp-6772fd7a,2026-09-25T09:10:00-07:00,weekday-2026-09-25,rad_basket_cargo_tiedown,rad,net and strap hooks do not fit Rad basket rails,22,"[""rad_yotpo_reviews""]",low,KEEP_HUNTING,false,Cargo tie-down/hook KEEP_HUNTING. Teardown NEEDS DATA this run (slot budget used on cup+organizer). OEM net/straps in stock; hook fit complaints real; liability MEDIUM → pull-test before DESIGN. Bundle with organizer.,demand,https://www.radpowerbikes.com/products/cargo-net,50,0.55,NEEDS DATA,data/teardowns/2026-09-25.csv#opp-6772fd7a
opp-5ecb15f8,2026-09-25T09:10:00-07:00,weekday-2026-09-25,rad_radrover_rear_rack,rad,rear rack OOS,1,"[""rad_oem"", ""facebook_rpboc""]",low,WATCH,false,OEM RadRover Rear Rack still OOS ($99). Load-path — never launch SKU. Invent WATCH; teardown NEEDS DATA.,demand,https://www.radpowerbikes.com/products/radrover-rear-rack,41,0.0,NEEDS DATA,data/teardowns/2026-09-25.csv#opp-5ecb15f8
opp-c5313620,2026-09-25T09:10:00-07:00,weekday-2026-09-25,rad_basket_cup_holder,rad,no drink holder in Rad front basket,9,"[""rad_yotpo_reviews"", ""youtube"", ""ebr"", ""amazon""]",low,KEEP_HUNTING,false,Cup holder COMPLETE teardown this run. Demand THIN–MODERATE; competition dense (universal $18.50–$25.60 + OEM $20 cage). KEEP_HUNTING as add-on module to organizer — not hero. Owner wish not counted.,mixed,https://www.radpowerbikes.com/products/small-front-mounted-basket,35,1.0,COMPLETE,data/teardowns/2026-09-25.csv#opp-c5313620
opp-956f5178,2026-09-25T09:10:00-07:00,weekday-2026-09-25,rad_radrunner_passenger_package,rad,passenger package OOS,1,"[""rad_oem"", ""facebook_rpboc""]",low,WATCH,false,OEM Passenger Package still OOS ($109). Passenger/kid = never launch. Invent WATCH; Caboose in-stock substitute.,demand,https://www.radpowerbikes.com/products/radrunner-passenger-package,18,0.4,NEEDS DATA,data/teardowns/2026-09-25.csv#opp-956f5178
opp-c06fe8eb,2026-09-25T09:10:00-07:00,weekday-2026-09-25,rad_display_phone_mount,rad,phone mount clasp,0,"[""youtube"", ""etsy"", ""rad_oem""]",low,DROP?,false,Track A DEMOTE: OEM GUB PRO-3 still IN STOCK; YT mostly howto (wtb=0 diy=0) → unmet capped. DROP?,competition,https://www.radpowerbikes.com/products/gub-pro-3-phone-mount,18,0.46,,
opp-c79d9c4e,2026-09-25T09:10:00-07:00,weekday-2026-09-25,rad_power_charging_port_dust_cap,rad,charge port dust cap,0,"[""rad_oem"", ""etsy""]",low,DROP?,false,Track A DEMOTE: OEM External Battery Charge Port Cover still IN STOCK; dust-cap buyer evidence=0; Etsy=1 competition only. DROP?,competition,https://www.radpowerbikes.com/products/external-battery-charge-port-cover,16,0.45,,
